序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
283,000688,国城矿业,-2.846137523651123,45.4,51.4,1196178064,53801877724.4,53802074124.799995,2.178471326828003,0.2428792119026184,是,0.9647002220153809,0/0,60日新高,工业金属
284,603687,大胜达,-2.973790168762207,19.25,21.82,2620742656,10588113382.0,10588113536.0,24.348970413208008,0.15608739852905273,是,1.7160921096801758,3/2,60日新高且近期多次涨停,包装印刷
286,000552,甘肃能化,-3.2727270126342773,2.66,3.03,726499536,9910658579.36,14235826984.960001,6.9385762214660645,-0.746268630027771,是,1.9356684684753418,0/0,60日新高,煤炭开采
287,001299,美能能源,-3.381014347076416,14.86,16.92,306544400,3245422796.3399997,3605609685.16,9.46841049194336,0.13477088510990143,否,0.8104111552238464,6/3,近期多次涨停,燃气Ⅱ
288,600488,津药药业,-3.656597852706909,6.06,6.92,876485152,6616833280.799999,6616833329.28,13.27838134765625,0.1652892529964447,否,0.7011047005653381,15/8,近期多次涨停,化学制药
289,002263,大东南,-3.675048351287842,4.98,5.69,2515962880,9354158598.0,9354233278.08,26.392099380493164,-0.20040079951286316,是,1.1659423112869263,2/1,60日新高,塑料
290,605366,宏柏新材,-3.9285714626312256,13.45,15.4,757866352,10438245065.0,10438245011.199999,7.244761943817139,0.14892032742500305,是,1.5160008668899536,0/0,60日新高,化学制品
292,002364,中恒电气,-4.415887832641602,40.91,47.08,4304164608,22832024821.6,23055442513.6,18.63566017150879,0.22048015892505646,否,1.378184199333191,7/4,近期多次涨停,其他电源
293,002033,丽江股份,-4.574565410614014,10.43,12.02,1099460464,5731078287.83,5731188042.72,19.170639038085938,0.5785921216011047,否,2.3947741985321045,3/2,近期多次涨停,旅游及景
294,002468,申通快递,-4.714365005493164,17.18,19.83,1515378800,25206495415.88,26299181108.8,5.966361999511719,0.058241117745637894,是,2.0738565921783447,3/2,60日新高且近期多次涨停,物流
295,600664,哈药股份,-5.2272725105285645,4.17,4.84,1705462080,10502186182.92,10502186166.24,16.0079402923584,-0.47732698917388916,否,1.229564905166626,4/2,近期多次涨停,化学制药
