序号,股票代码,股票简称,涨跌幅,最新价,成交量,基准日成交量,缩量天数,阶段涨跌幅,所属行业
125,605016,百龙创园,-1.57,26.29,572.07万,1136.29万(04月13日),4,-5.36,化学制品
126,605086,龙高股份,0.94,34.52,150.86万,179.76万(04月13日),4,2.28,非金属材料
127,605117,德业股份,2.86,143.99,1980.14万,4213.91万(04月13日),4,-2.01,光伏设备
138,000008,神州高铁,0.37,2.71,5691.88万,7591.52万(04月14日),3,-0.73,轨交设备
139,000009,中国宝安,0.45,8.98,2094.23万,2307.78万(04月14日),3,-0.44,电池
140,000021,深科技,0.8,29.0,6209.95万,8871.51万(04月14日),3,-0.45,消费电子
141,000032,深桑达A,-2.47,18.55,2436.36万,3459.25万(04月14日),3,-0.64,建筑装饰
142,000063,中兴通讯,-0.2,35.33,7156.64万,9419.13万(04月14日),3,-1.4,通信设备
143,000338,潍柴动力,-3.29,26.5,1.20亿,1.41亿(04月14日),3,1.22,汽车零部件
144,000429,粤高速A,-1.17,12.7,368.80万,608.91万(04月14日),3,0.71,公路铁路运输
145,000519,中兵红箭,-0.23,17.76,1871.62万,3080.63万(04月14日),3,-0.84,军工装备
146,000548,湖南投资,-1.7,5.21,784.52万,935.65万(04月14日),3,0.58,公路铁路运输
147,000632,三木集团,-1.99,4.43,1901.70万,3688.74万(04月14日),3,-3.06,综合
148,000682,东方电子,0.38,13.12,2744.32万,6596.61万(04月14日),3,1.0,电网设备
149,000707,双环科技,-0.68,5.84,803.90万,1514.50万(04月14日),3,-1.02,化学原料
150,000708,中信特钢,-0.59,16.74,812.12万,1120.18万(04月14日),3,0.0,钢铁
151,000735,罗牛山,-0.29,6.92,2112.00万,3218.98万(04月14日),3,0.44,养殖业
152,000755,山西高速,-0.97,5.1,401.14万,443.13万(04月14日),3,0.0,公路铁路运输
153,000757,浩物股份,-1.47,4.7,905.67万,1342.15万(04月14日),3,0.21,汽车服务及其他
154,000793,*ST华闻,-2.43,2.81,7475.01万,1.37亿(04月14日),3,-4.75,文化传媒
155,000812,陕西金叶,-1.25,3.95,1071.63万,1236.04万(04月14日),3,-1.25,包装印刷
156,000839,国安股份,-1.24,3.18,6452.15万,8910.80万(04月14日),3,-2.75,通信服务
157,000876,新希望,-1.24,8.8,4746.70万,9091.87万(04月14日),3,-1.46,农产品加工
158,000893,亚钾国际,-3.58,54.38,1819.13万,4002.33万(04月14日),3,0.61,农化制品
159,000898,鞍钢股份,-0.43,2.33,2904.00万,4438.34万(04月14日),3,-0.43,钢铁
160,000917,电广传媒,0.1,9.9,3137.24万,4042.70万(04月14日),3,-0.4,文化传媒
161,000949,新乡化纤,-1.61,7.31,4577.10万,8434.63万(04月14日),3,-0.81,化学纤维
162,001201,东瑞股份,-2.07,13.22,661.48万,1286.69万(04月14日),3,-1.93,养殖业
163,001213,中铁特货,-0.25,4.03,1185.57万,1441.12万(04月14日),3,0.0,公路铁路运输
164,001314,亿道信息,-0.09,43.56,122.49万,212.95万(04月14日),3,0.3,消费电子
165,001368,通达创智,-0.81,27.98,286.58万,574.42万(04月14日),3,0.9,家居用品
166,001872,招商港口,-0.74,21.43,226.48万,287.51万(04月14日),3,0.14,港口航运
167,002012,凯恩股份,-1.41,7.0,1550.24万,3413.18万(04月14日),3,-0.57,造纸
168,002046,国机精工,1.11,50.1,1507.55万,2816.13万(04月14日),3,2.35,通用设备
169,002077,大港股份,0.25,16.16,1576.18万,2036.33万(04月14日),3,-0.37,半导体
170,002130,沃尔核材,0.2,25.62,3851.09万,5759.93万(04月14日),3,-0.08,其他电子
171,002138,顺络电子,-0.81,35.45,1939.64万,2804.83万(04月14日),3,0.0,元件
172,002150,正泰电源,-1.99,30.55,2224.37万,4323.09万(04月14日),3,-6.89,光伏设备
173,002151,北斗星通,0.26,38.48,1274.95万,1861.04万(04月14日),3,0.03,军工电子
174,002158,汉钟精机,-0.28,24.66,404.50万,665.02万(04月14日),3,-1.36,通用设备
175,002176,江特电机,-1.42,11.12,1.25亿,1.54亿(04月14日),3,-1.42,电机
176,002178,延华智能,-1.3,6.06,1144.44万,1389.96万(04月14日),3,-1.46,软件开发
177,002197,证通电子,-2.68,8.0,3407.19万,4446.67万(04月14日),3,2.96,IT服务
178,002223,鱼跃医疗,-0.4,32.8,622.17万,855.60万(04月14日),3,-0.7,医疗器械
179,002230,科大讯飞,0.29,48.24,3513.50万,3662.68万(04月14日),3,-0.19,软件开发
180,002241,歌尔股份,-0.12,24.19,6131.56万,6620.57万(04月14日),3,-1.22,消费电子
181,002256,兆新股份,-0.96,4.11,9036.46万,2.27亿(04月14日),3,-2.84,电力
182,002293,罗莱生活,-1.55,10.17,478.40万,766.88万(04月14日),3,0.59,服装家纺
183,002321,华英农业,-2.23,2.19,9545.01万,1.67亿(04月14日),3,-4.37,养殖业
184,002326,永太科技,-0.2,24.67,3587.28万,6107.61万(04月14日),3,-1.52,化学制品
185,002350,北京科锐,-1.58,13.72,2146.22万,3227.06万(04月14日),3,-1.15,电网设备
186,002399,海普瑞,-2.03,11.12,345.35万,443.85万(04月14日),3,-1.94,化学制药
187,002405,四维图新,-0.22,9.12,5832.09万,6294.29万(04月14日),3,0.0,软件开发
188,002407,多氟多,-0.3,30.01,9776.93万,1.24亿(04月14日),3,-2.82,化学制品
189,002409,雅克科技,-0.26,85.9,959.19万,1218.89万(04月14日),3,-2.49,半导体
190,002418,康盛股份,9.95,6.19,2.64亿,3.75亿(04月14日),3,1.48,白色家电
191,002438,江苏神通,-0.78,16.63,602.93万,1427.00万(04月14日),3,0.48,通用设备
192,002443,金洲管道,0.43,9.43,2536.80万,4141.79万(04月14日),3,1.07,钢铁
193,002445,中南文化,-1.17,3.38,1.19亿,1.33亿(04月14日),3,-0.88,通用设备
194,002461,珠江啤酒,-0.41,9.72,993.03万,1980.47万(04月14日),3,2.1,饮料制造
195,002479,富春环保,-2.28,5.58,2851.22万,3792.79万(04月14日),3,-5.42,电力
196,002482,广田集团,-1.19,1.66,3467.65万,4626.98万(04月14日),3,-2.92,建筑装饰
197,002484,江海股份,-2.39,33.03,5803.28万,9256.82万(04月14日),3,-1.08,元件
198,002512,ST达华,-2.19,4.01,4993.18万,1.02亿(04月14日),3,-5.65,计算机设备
199,002521,齐峰新材,-1.14,8.65,979.00万,2388.98万(04月14日),3,-4.31,造纸
200,002522,浙江众成,0.32,6.19,3356.88万,7451.84万(04月14日),3,-1.28,塑料制品
201,002542,中化岩土,0.98,2.05,1.59亿,2.64亿(04月14日),3,-5.09,建筑装饰
202,002544,普天科技,0.52,27.08,1101.11万,1518.16万(04月14日),3,0.71,通信服务
203,002546,新联电子,-2.18,8.97,3191.28万,4596.60万(04月14日),3,-4.78,电网设备
204,002553,南方精工,-0.98,25.24,865.88万,1967.65万(04月14日),3,-3.48,汽车零部件
205,002567,唐人神,-1.86,4.23,2994.95万,6870.77万(04月14日),3,-1.17,农产品加工
206,002582,好想你,-0.41,12.21,3223.00万,5500.42万(04月14日),3,-2.71,食品加工制造
207,002593,日上集团,-0.94,5.28,1381.88万,2570.18万(04月14日),3,-0.38,汽车零部件
