序号,股票代码,股票简称,涨跌幅,最新价,成交量,基准日成交量,放量天数,阶段涨跌幅,所属行业
173,603257,中国瑞林,3.93,59.5,106.49万,98.94万(04月14日),3,4.62,建筑装饰
174,603286,日盈电子,1.08,62.93,316.67万,212.62万(04月14日),3,2.13,汽车零部件
175,603315,福鞍股份,9.98,18.52,3235.60万,1064.71万(04月14日),3,21.12,环境治理
176,603322,超讯通信,5.05,38.09,1906.19万,337.40万(04月14日),3,17.63,IT服务
177,603507,振江股份,-1.74,45.07,1144.27万,1072.90万(04月14日),3,-2.13,风电设备
178,603515,欧普照明,1.29,20.36,231.22万,182.10万(04月14日),3,5.44,光学光电子
179,603626,科森科技,2.95,24.45,4005.70万,2159.57万(04月14日),3,2.56,消费电子
180,603637,镇海股份,-2.6,14.64,1693.16万,1022.36万(04月14日),3,5.7,建筑装饰
181,603699,纽威股份,-1.61,51.2,684.06万,527.82万(04月14日),3,0.18,通用设备
182,603700,宁水集团,-5.89,12.78,265.72万,215.21万(04月14日),3,-4.98,通用设备
183,603768,常青股份,-0.9,11.07,213.44万,154.28万(04月14日),3,0.82,汽车零部件
184,603838,*ST四通,-1.33,8.88,284.87万,127.60万(04月14日),3,-1.66,家居用品
185,603922,金鸿顺,10.03,21.51,449.58万,345.71万(04月14日),3,9.08,汽车零部件
186,603948,建业股份,1.32,27.6,123.90万,85.64万(04月14日),3,2.15,化学制品
187,605009,豪悦护理,0.28,28.52,89.07万,66.36万(04月14日),3,1.46,美容护理
188,605365,立达信,2.08,25.53,2371.70万,552.04万(04月14日),3,18.63,光学光电子
