代码,60日最高,当前价,跌幅,符合跌幅>19%,7日横盘,3日量能,3日趋势
sh600618,18.19,12.71,30.13,True,True,0.67,下跌
sz001386,27.28,19.4,28.89,True,True,0.92,下跌
sz002432,94.8,75.35,20.52,True,False,0.89,下跌
sh600262,35.22,27.3,22.49,True,True,1.39,上涨
sz002020,18.92,15.25,19.4,True,True,1.16,下跌
sz002357,16.54,11.05,33.19,True,True,0.76,下跌
sz002096,14.64,11.71,20.01,True,True,0.6,下跌
sz000767,5.12,3.87,24.41,True,False,0.58,上涨
sz002991,64.5,49.75,22.87,True,True,0.88,下跌
sh600021,24.85,17.73,28.65,True,True,1.39,下跌
sh601330,12.2,7.83,35.82,True,True,0.67,下跌
sz002457,15.04,11.17,25.73,True,True,1.89,上涨
sh600989,36.49,27.75,23.95,True,False,0.86,下跌
sh601022,11.24,8.89,20.91,True,True,0.75,上涨
sh601899,44.94,34.73,22.72,True,True,0.97,下跌
sh603556,43.28,34.56,20.15,True,True,1.54,下跌
sz002026,17.29,13.36,22.73,True,True,0.88,上涨
sz002895,46.02,37.06,19.47,True,True,1.05,下跌
sh603209,18.12,14.48,20.09,True,True,0.69,下跌
sz000425,12.9,9.95,22.87,True,True,1.52,下跌
sh601038,15.84,12.67,20.01,True,True,1.07,下跌
sh601369,12.55,10.09,19.6,True,True,0.88,上涨
sh603979,89.77,62.88,29.95,True,True,0.86,下跌
sh605507,29.98,24.03,19.85,True,True,2.3,下跌
sh601702,28.03,20.91,25.4,True,True,0.91,上涨
sh603233,21.78,17.39,20.16,True,True,0.97,上涨
sz000581,26.0,19.19,26.19,True,True,2.97,下跌
sz002605,30.01,20.88,30.42,True,True,1.03,下跌
sh601600,15.85,12.69,19.94,True,True,0.74,上涨
sh603393,44.0,32.6,25.91,True,True,0.59,下跌
sh603799,82.17,66.21,19.42,True,True,1.72,上涨
sz002734,22.79,17.25,24.31,True,True,1.4,上涨
sz002911,17.8,13.59,23.65,True,True,1.22,下跌
sz002056,25.84,19.39,24.96,True,True,0.72,下跌
sz002555,29.9,22.21,25.72,True,True,1.64,下跌
sz002043,18.18,14.54,20.02,True,True,0.65,上涨
sz000887,24.25,18.95,21.86,True,True,1.11,上涨
sz000526,42.5,31.81,25.15,True,True,0.61,下跌
sz002027,7.85,6.21,20.89,True,True,1.21,下跌
sz002140,15.52,12.41,20.04,True,True,0.69,下跌
sh600216,18.58,14.9,19.81,True,True,0.89,下跌
sh603080,27.57,21.24,22.96,True,True,0.88,下跌
sh603718,7.19,4.31,40.06,True,True,1.49,下跌
sh603759,13.4,9.33,30.37,True,True,0.58,下跌
sh605183,23.92,19.33,19.19,True,True,0.66,上涨
sz002478,13.87,11.09,20.04,True,True,0.93,上涨
sh600415,18.3,12.17,33.5,True,True,0.94,下跌
sh600681,5.34,3.98,25.47,True,True,0.58,下跌
sh603100,25.76,19.9,22.75,True,True,0.98,下跌
sh603194,42.8,33.96,20.65,True,True,1.02,上涨
sh600219,8.45,6.39,24.38,True,True,0.89,上涨
sh601975,5.4,4.32,20.0,True,False,0.52,下跌
sh603444,490.0,382.98,21.84,True,True,2.1,上涨
sh603998,12.88,10.35,19.64,True,True,1.34,下跌
sz002367,8.58,6.39,25.52,True,True,0.54,下跌
sz002697,6.68,5.3,20.66,True,True,1.02,下跌
sh601877,42.13,32.52,22.81,True,True,1.71,下跌
sh603298,31.43,25.33,19.41,True,True,1.2,上涨
sz000027,8.48,6.68,21.23,True,True,0.5,下跌
sz000850,6.66,4.87,26.88,True,True,0.98,下跌
sh600583,8.72,7.01,19.61,True,True,0.83,下跌
sh603605,76.99,59.24,23.05,True,True,1.25,下跌
sz002296,15.17,11.46,24.46,True,True,0.81,下跌
sh603568,29.37,23.3,20.67,True,True,2.07,下跌
sz002346,23.74,19.0,19.97,True,True,0.85,下跌
sz000157,10.16,8.07,20.57,True,True,1.88,下跌
sz001323,29.66,23.59,20.47,True,True,1.99,下跌
sz002852,12.19,9.72,20.26,True,True,0.76,下跌
sh600809,183.97,139.5,24.17,True,True,0.85,上涨
sh600909,7.85,5.7,27.39,True,True,0.9,下跌
sh603589,31.35,24.73,21.12,True,True,0.81,下跌
sh603008,22.75,12.53,44.92,True,True,0.89,上涨
sz000528,12.21,9.54,21.87,True,True,0.82,下跌
sz000932,6.86,5.05,26.38,True,True,0.98,平盘
sz002546,12.4,8.97,27.66,True,True,1.46,下跌
sh603198,43.1,34.57,19.79,True,True,0.68,下跌
sh601216,6.75,5.23,22.52,True,True,0.81,下跌
sz002394,17.94,13.46,24.97,True,True,1.18,下跌
sh603833,62.93,50.6,19.59,True,True,0.89,上涨
sz000987,12.24,8.96,26.8,True,False,0.65,上涨
sh600761,24.39,17.36,28.82,True,True,0.71,下跌
sz000411,14.36,10.96,23.68,True,True,1.83,上涨
sh600612,52.16,41.57,20.3,True,True,0.99,下跌
sh600780,8.45,6.63,21.54,True,True,0.61,上涨
sz002078,17.68,14.18,19.8,True,True,1.25,下跌
sh601058,16.93,13.63,19.49,True,True,1.07,上涨
sz000902,19.45,15.17,22.01,True,True,1.53,下跌
sh600273,12.25,9.04,26.2,True,True,0.75,上涨
sh600961,27.48,22.09,19.61,True,True,1.12,上涨
sh600096,45.62,33.36,26.87,True,True,1.1,下跌
sz000568,127.91,101.2,20.88,True,True,1.18,下跌
sz000596,140.25,105.3,24.92,True,True,0.8,下跌
sh600782,4.37,3.53,19.22,True,True,0.81,下跌
