序号,股票代码,股票名称,调入日期,最新评级日期,当前评级名称,成交价格(前复权),最新价格,阶段涨跌幅
1,002833,弘亚数控,2026-03-10,2026-03-10,买入,18.45,18.01,-2.38
3,301662,宏工科技,2026-02-10,2026-02-10,买入,178.64,155.73,-12.82
5,688308,欧科亿,2025-12-02,2025-12-02,买入,28.86,92.28,219.75
8,603338,浙江鼎力,2025-08-06,2025-12-04,买入,50.32,49.39,-1.85
3,605060,联德股份,2026-04-07,2026-04-07,买入,48.16,62.11,28.97
7,300953,震裕科技,2026-01-19,2026-01-19,买入,175.7,218.35,24.27
8,001696,宗申动力,2025-10-31,2025-10-31,买入,23.81,19.19,-19.4
9,688337,普源精电,2025-10-29,2025-10-29,买入,41.74,66.93,60.35
11,300083,创世纪,2025-08-20,2025-10-28,买入,9.7,8.4,-13.4
12,688301,奕瑞科技,2025-08-18,2026-04-03,买入,108.01,117.48,8.77
3,301608,博实结,2025-07-11,2025-11-05,买入,79.2845163432,90.07,13.61
4,688182,灿勤科技,2025-06-16,2025-10-30,买入,27.1252715139,31.5,16.11
11,002970,锐明技术,2025-04-29,2026-04-14,买入,47.5204830805,63.22,33.04
13,002130,沃尔核材,2024-11-28,2026-04-07,买入,17.194050821,26.06,51.6
16,688629,华丰科技,2024-05-08,2026-04-20,买入,28.8077362716,128.75,346.89
20,600498,烽火通信,2023-03-06,2025-11-04,买入,17.297151894,55.01,217.98
23,002139,拓邦股份,2021-06-24,2026-04-16,买入,18.03633255,12.1,-32.93
24,002465,海格通信,2021-03-04,2026-04-01,买入,9.2466903506,16.58,79.24
26,300628,亿联网络,2020-06-29,2025-10-29,买入,41.9081241984,37.28,-11.05
4,002266,浙富控股,2026-02-11,2026-02-11,买入,4.85,4.54,-6.39
5,300473,德尔股份,2026-02-10,2026-02-10,买入,33.26,35.2,5.83
6,603663,三祥新材,2026-02-09,2026-02-09,买入,46.01,48.73,5.91
7,301175,中科环保,2026-02-06,2026-02-06,增持,5.98,6.21,3.85
8,688239,航宇科技,2026-02-04,2026-02-04,买入,68.2,63.15,-7.4
9,603556,海兴电力,2026-01-07,2026-01-07,买入,35.99,30.2,-16.09
10,600452,涪陵电力,2026-01-05,2026-01-05,买入,9.51,12.05,26.71
11,300040,九洲集团,2025-11-17,2025-11-17,买入,7.06,7.36,4.25
12,600995,南网储能,2025-11-12,2025-11-12,买入,13.48,14.83,10.01
13,000777,中核科技,2025-11-10,2025-11-10,买入,23.9600332928,22.08,-7.85
14,688663,新风光,2025-11-03,2025-11-03,买入,44.33,68.94,55.52
16,003022,联泓新科,2025-08-25,2025-11-04,买入,20.17,24.77,22.81
18,300263,隆华科技,2025-05-12,2025-12-16,买入,7.4665149024,10.46,40.03
2,002937,兴瑞科技,2026-02-26,2026-02-26,买入,26.2,32.03,22.25
3,301387,光大同创,2026-01-26,2026-04-16,增持,58.51,62.48,6.79
4,300703,创源股份,2026-01-13,2026-01-13,买入,28.1,18.99,-32.42
5,300757,罗博特科,2026-01-12,2026-01-12,买入,287.0,515.88,79.75
6,002536,飞龙股份,2025-12-30,2026-03-27,买入,32.06,38.11,18.87
7,301189,奥尼电子,2025-12-26,2025-12-26,买入,39.48,80.88,104.86
8,301548,崇德科技,2025-11-17,2025-11-17,买入,55.46,84.03,51.51
9,002448,中原内配,2025-11-13,2025-11-13,买入,11.72,17.52,49.49
10,688615,合合信息,2025-10-31,2026-03-18,买入,216.85,183.61,-15.33
11,603859,能科科技,2025-10-30,2025-10-30,买入,44.12,41.15,-6.73
12,301307,美利信,2025-06-27,2025-12-08,买入,23.94,41.77,74.48
13,003033,征和工业,2025-06-12,2025-10-31,买入,41.8153302936,56.11,34.17
2,601877,正泰电器,2026-04-21,2026-04-21,买入,32.46,32.52,0.18
3,300129,泰胜风能,2026-04-20,2026-04-20,买入,13.03,11.39,-12.59
4,600821,金开新能,2026-04-20,2026-04-20,买入,9.39,9.58,2.02
5,002028,思源电气,2026-04-20,2026-04-20,买入,217.82,223.99,2.83
6,600089,特变电工,2026-04-17,2026-04-17,买入,27.32,27.68,1.32
9,301162,国能日新,2026-04-14,2026-04-14,买入,69.33,71.19,2.68
10,002706,良信股份,2026-04-13,2026-04-13,买入,9.48,10.6,11.81
11,603806,福斯特,2026-04-13,2026-04-13,买入,17.3,18.15,4.91
15,600875,东方电气,2026-04-07,2026-04-07,买入,34.82,43.82,25.85
17,002865,钧达股份,2026-04-03,2026-04-03,买入,68.89,76.38,10.87
18,002334,英威腾,2026-04-03,2026-04-03,增持,7.9,7.96,0.76
19,300919,中伟新材,2026-04-03,2026-04-03,买入,47.7,57.1,19.71
20,601727,上海电气,2026-04-03,2026-04-03,买入,7.73,8.07,4.4
21,002531,天顺风能,2026-04-03,2026-04-03,买入,10.99,12.68,15.38
22,688503,聚和材料,2026-04-02,2026-04-02,买入,83.02,90.87,9.46
26,300286,安科瑞,2026-03-31,2026-03-31,买入,24.8,24.02,-3.15
27,300014,亿纬锂能,2026-03-31,2026-03-31,买入,62.23,71.87,15.49
28,601865,福莱特,2026-03-30,2026-03-30,买入,15.01,14.54,-3.13
29,002202,金风科技,2026-03-30,2026-03-30,买入,27.72,25.7,-7.29
30,002056,横店东磁,2026-03-30,2026-03-30,买入,19.76,19.1,-3.34
31,003816,中国广核,2026-03-30,2026-03-30,买入,4.6,4.66,1.3
33,002129,TCL中环,2026-03-27,2026-03-27,买入,9.36,8.64,-7.69
34,600011,华能国际,2026-03-27,2026-03-27,买入,7.49,6.99,-6.68
37,300682,朗新科技,2025-11-14,2026-04-01,买入,16.71,16.16,-3.29
38,002074,国轩高科,2025-10-30,2025-10-30,增持,45.81,39.76,-13.21
39,688612,威迈斯,2025-08-27,2025-10-29,买入,38.51,32.29,-16.15
1,688097,博众精工,2026-03-18,2026-03-18,增持,59.64,63.36,6.24
2,300658,延江股份,2026-03-02,2026-03-02,增持,24.51,20.17,-17.71
4,301396,宏景科技,2026-02-09,2026-02-13,增持,92.35,333.33,260.94
5,688379,华光新材,2026-02-02,2026-02-02,增持,50.16,61.28,22.17
6,688158,优刻得,2026-02-02,2026-04-22,增持,35.87,50.08,39.62
8,688027,国盾量子,2026-01-08,2026-01-08,买入,562.0,560.89,-0.2
12,000034,神州数码,2025-12-24,2025-12-24,买入,38.22,36.69,-4.0
13,300547,川环科技,2025-12-24,2025-12-24,买入,40.86,36.16,-11.5
14,600588,用友网络,2025-12-19,2025-12-19,买入,12.6,12.21,-3.1
15,300496,中科创达,2025-12-17,2025-12-17,买入,64.71,65.08,0.57
16,301269,华大九天,2025-12-16,2025-12-16,买入,102.76,86.78,-15.55
17,603124,江南新材,2025-12-15,2025-12-15,买入,70.0,124.02,77.17
18,002787,华源控股,2025-12-08,2025-12-08,买入,12.48,19.44,55.77
20,002006,精工科技,2025-11-03,2025-11-03,买入,21.54,17.65,-18.06
21,603186,华正新材,2025-10-31,2025-10-31,买入,47.71,69.8,46.3
22,600869,远东股份,2025-10-27,2026-01-26,买入,7.92,16.52,108.59
23,301397,溯联股份,2025-10-24,2025-10-24,买入,36.51,37.23,1.97
1,603267,鸿远电子,2026-04-13,2026-04-13,买入,50.97,52.28,2.57
3,300900,广联航空,2025-12-15,2025-12-15,增持,24.34,45.76,88.0
4,688002,睿创微纳,2025-10-27,2025-10-27,买入,81.01,133.45,64.73
1,688268,华特气体,2026-04-22,2026-04-22,买入,137.9,147.33,6.84
2,300481,濮阳惠成,2026-04-10,2026-04-10,买入,16.08,14.81,-7.9
3,688722,同益中,2026-04-07,2026-04-07,买入,16.46,17.35,5.41
4,600063,皖维高新,2026-04-03,2026-04-03,买入,6.54,6.89,5.35
5,300034,钢研高纳,2026-04-02,2026-04-02,买入,17.87,20.01,11.98
6,688432,有研硅,2026-03-31,2026-03-31,买入,13.43,15.46,15.12
8,688138,清溢光电,2026-02-13,2026-02-13,买入,29.97,29.45,-1.74
9,600558,大西洋,2026-01-09,2026-04-10,买入,6.76,5.28,-21.89
10,603109,神驰机电,2026-01-08,2026-01-08,买入,26.65,23.79,-10.73
13,300655,晶瑞电材,2025-11-17,2025-11-17,增持,15.81,15.61,-1.27
14,600458,时代新材,2025-11-03,2025-11-03,买入,14.39,11.95,-16.96
15,688190,云路股份,2025-11-03,2026-04-03,买入,103.1420657656,85.95,-16.67
16,301266,宇邦新材,2025-11-03,2025-11-03,买入,39.65,41.8,5.42
17,301301,川宁生物,2025-10-29,2026-04-03,买入,11.43,9.86,-13.74
20,002166,莱茵生物,2025-09-19,2026-04-03,买入,7.77,8.8,13.26
21,688584,上海合晶,2025-08-01,2026-03-19,买入,18.0,20.6,14.44
22,603950,长源东谷,2025-06-13,2026-04-07,买入,21.61,63.81,195.28
24,300346,南大光电,2025-06-10,2025-11-04,买入,30.83338306,52.36,69.83
26,300218,安利股份,2025-06-03,2025-11-03,买入,14.6400000269,14.27,-2.53
28,000519,中兵红箭,2025-05-12,2025-10-28,买入,18.77,17.65,-5.97
29,688357,建龙微纳,2025-05-09,2025-11-03,增持,24.9012402936,37.03,48.71
30,002810,山东赫达,2025-05-08,2025-10-29,买入,11.5044649887,26.28,128.52
31,300285,国瓷材料,2025-04-23,2026-01-15,买入,16.5197446188,36.0,117.92
32,301580,爱迪特,2025-01-09,2025-10-29,买入,38.2223830478,78.03,104.16
33,688087,英科再生,2024-12-04,2025-11-03,买入,28.1117829015,40.02,42.37
34,300855,图南股份,2024-08-16,2026-04-22,买入,22.8811878757,40.34,76.31
35,002409,雅克科技,2024-07-10,2025-11-05,买入,65.577981708,89.13,35.91
37,688019,安集科技,2023-04-17,2025-10-29,买入,114.02824356,244.77,114.65
1,002372,伟星新材,2026-04-08,2026-04-08,买入,10.7,10.42,-2.62
3,600801,华新建材,2025-12-29,2026-03-31,买入,24.14,23.0,-4.72
4,000672,上峰水泥,2025-05-06,2025-12-30,买入,8.217181778,13.39,62.9
1,600733,北汽蓝谷,2026-03-02,2026-03-02,买入,8.01,7.22,-9.86
16,300708,聚灿光电,2024-10-11,2026-03-23,买入,7.5827961265,9.52,25.59
1,600580,卧龙电驱,2026-04-22,2026-04-22,买入,38.72,37.88,-2.17
2,600577,精达股份,2026-04-22,2026-04-22,买入,13.3,12.97,-2.48
3,603026,石大胜华,2026-04-17,2026-04-17,买入,98.05,102.76,4.8
5,300497,富祥药业,2026-03-23,2026-03-23,买入,14.17,18.0,27.03
6,001301,尚太科技,2026-03-10,2026-03-10,买入,77.26,74.98,-2.95
8,688353,华盛锂电,2026-02-02,2026-02-02,买入,99.0,115.77,16.94
10,688275,万润新能,2025-12-03,2025-12-03,买入,81.37,142.16,74.71
11,300438,鹏辉能源,2025-10-24,2025-10-31,买入,38.39,68.09,77.36
13,688411,海博思创,2025-07-01,2025-11-05,买入,84.03,226.5,169.55
14,688819,天能股份,2025-05-07,2025-11-05,买入,25.9981286552,35.82,37.77
16,603312,西典新能,2025-01-17,2025-10-31,买入,32.1031462535,41.02,27.79
18,301358,湖南裕能,2024-12-04,2025-10-28,买入,48.831877175,86.28,76.69
19,300432,富临精工,2024-11-22,2026-01-19,买入,10.4500519602,27.07,159.04
20,603195,公牛集团,2024-09-04,2025-11-04,买入,44.0992830681,41.52,-5.85
1,000792,盐湖股份,2025-10-29,2025-10-29,买入,25.01,35.69,42.7
1,600938,中国海油,2025-05-23,2025-11-14,买入,24.436566216,38.04,55.65
