序号,股票代码,股票简称,收盘价,最高价,最低价,连涨天数,连续涨跌幅,累计换手率,所属行业
237,600582,天地科技,5.67,5.71,5.61,3,-1.22,2.59,专用设备
238,600583,海油工程,6.38,6.94,6.3,3,-6.86,4.45,油气开采及服务
239,600596,新安股份,11.9,12.8,11.85,3,-6.37,6.83,农化制品
240,600616,金枫酒业,4.93,5.06,4.91,3,-2.18,4.36,饮料制造
241,600678,ST金顶,9.37,10.38,9.37,3,-14.27,0.23,建筑材料
242,600685,中船防务,31.71,33.53,31.4,3,-2.01,9.93,军工装备
243,600691,潞化科技,3.17,3.48,3.12,3,-6.21,8.44,农化制品
244,600734,*ST实达,2.02,2.26,2.01,3,-14.04,16.98,IT服务
245,600735,ST新华锦,6.68,8.18,6.68,3,-14.25,28.24,服装家纺
246,600738,丽尚国潮,4.72,4.86,4.71,3,-2.07,4.72,零售
247,600748,上实发展,4.98,5.5,4.95,3,-8.96,4.18,房地产
248,600754,锦江酒店,24.0,27.42,23.95,3,-9.4,7.27,旅游及酒店
249,600796,钱江生化,6.16,6.43,6.15,3,-3.14,9.45,环境治理
250,600805,悦达投资,5.23,5.38,5.21,3,-2.43,4.85,综合
251,600808,马钢股份,3.79,3.9,3.78,3,-2.82,2.88,钢铁
252,600838,上海九百,9.47,9.75,9.39,3,-1.35,5.47,零售
253,600858,银座股份,5.7,5.88,5.67,3,-1.72,5.06,零售
254,600859,王府井,12.09,12.44,12.05,3,-2.81,4.48,零售
255,600908,无锡银行,5.69,5.83,5.67,3,-1.22,2.76,银行
256,600919,江苏银行,11.21,11.42,11.06,3,-1.67,1.42,银行
257,600928,西安银行,3.66,3.74,3.66,3,-1.61,1.71,银行
258,600929,雪天盐业,6.79,7.03,6.73,3,-2.86,4.62,化学原料
259,600955,维远股份,18.61,19.81,18.49,3,-6.01,5.1,化学原料
260,600981,苏豪汇鸿,2.82,2.89,2.81,3,-1.4,2.59,贸易
261,600987,航民股份,7.04,7.2,6.98,3,-1.68,2.95,纺织制造
262,600989,宝丰能源,28.1,31.61,27.91,3,-9.73,5.39,化学原料
263,600993,马应龙,25.27,26.19,25.2,3,-3.22,3.48,中药
264,600998,九州通,5.06,5.21,5.02,3,-2.5,2.33,医药商业
265,601007,金陵饭店,7.61,8.0,7.51,3,-4.28,13.42,旅游及酒店
266,601010,ST文峰,2.0,2.21,2.0,3,-14.16,0.27,零售
267,601117,中国化学,8.48,8.68,8.38,3,-2.08,5.59,建筑装饰
268,601128,常熟银行,7.18,7.39,7.16,3,-2.71,3.96,银行
269,601166,兴业银行,17.75,18.04,17.74,3,-2.37,1.77,银行
270,601366,利群股份,3.97,4.08,3.96,3,-2.46,3.69,零售
271,601568,北元集团,3.8,3.98,3.76,3,-4.52,2.73,化学原料
272,601717,中创智领,18.25,19.45,17.98,3,-12.01,8.57,专用设备
273,601800,中国交建,6.94,7.06,6.92,3,-1.84,1.69,建筑装饰
274,601808,中海油服,14.43,15.27,14.35,3,-4.75,2.48,油气开采及服务
275,601816,京沪高铁,4.85,4.94,4.85,3,-1.82,0.92,公路铁路运输
276,601857,中国石油,11.27,12.34,11.23,3,-8.0,0.37,石油加工贸易
277,601918,新集能源,8.46,9.11,8.36,3,-6.0,9.02,煤炭开采加工
278,601966,玲珑轮胎,13.2,13.38,13.17,3,-1.49,2.41,汽车零部件
279,601997,贵阳银行,5.95,6.05,5.94,3,-1.33,4.03,银行
280,603027,千禾味业,8.9,9.56,8.84,3,-11.88,10.47,食品加工制造
281,603043,广州酒家,15.3,15.83,15.27,3,-3.16,2.25,食品加工制造
282,603049,中策橡胶,48.52,49.35,48.31,3,-1.74,7.53,汽车零部件
283,603113,金能科技,5.82,6.81,5.8,3,-21.88,13.02,化学原料
284,603129,春风动力,267.3,282.0,263.85,3,-3.15,2.62,汽车服务及其他
285,603136,天目湖,10.49,11.38,10.45,3,-6.0,13.24,旅游及酒店
286,603170,宝立食品,13.21,13.99,13.11,3,-5.44,3.11,食品加工制造
287,603218,日月股份,12.61,12.95,12.56,3,-3.0,4.62,风电设备
288,603233,大参林,18.49,19.35,18.45,3,-4.44,2.08,医药商业
289,603299,苏盐井神,10.5,11.07,10.35,3,-4.63,4.42,化学原料
290,603317,天味食品,16.64,17.3,16.17,3,-3.7,12.31,食品加工制造
291,603326,我乐家居,8.4,8.82,8.37,3,-6.56,8.73,家居用品
292,603357,设计总院,7.52,7.91,7.51,3,-7.73,6.63,建筑装饰
293,603359,*ST东珠,3.9,4.32,3.9,3,-14.29,0.18,环境治理
294,603363,傲农生物,3.28,3.44,3.27,3,-4.09,6.82,农产品加工
295,603379,三美股份,63.7,66.35,63.5,3,-3.99,4.83,化学制品
296,603529,爱玛科技,23.19,23.55,23.07,3,-1.44,2.92,汽车服务及其他
297,603589,口子窖,23.44,24.4,23.37,3,-3.54,2.17,白酒
298,603599,广信股份,12.99,15.3,12.73,3,-13.97,11.71,农化制品
299,603661,恒林股份,29.76,31.43,29.42,3,-7.29,6.14,家居用品
300,603663,三祥新材,45.89,47.7,45.07,3,-2.8,5.8,非金属材料
301,603707,健友股份,9.1,9.42,9.07,3,-3.6,2.92,化学制药
302,603709,中源家居,18.97,20.04,18.88,3,-3.56,13.13,家居用品
303,603727,博迈科,17.95,19.41,17.75,3,-4.98,4.79,油气开采及服务
304,603729,ST龙韵,14.77,16.37,14.77,3,-14.28,0.59,文化传媒
305,603798,康普顿,17.3,18.94,17.13,3,-8.66,11.77,石油加工贸易
306,603801,志邦家居,8.53,8.83,8.48,3,-4.26,3.06,家居用品
307,603810,丰山集团,15.63,16.27,15.52,3,-2.8,5.31,农化制品
308,603822,ST嘉澳,73.36,79.67,72.89,3,-9.47,8.35,化学制品
309,603825,ST华扬,8.53,8.94,8.45,3,-3.51,3.34,文化传媒
310,603833,欧派家居,46.5,48.48,45.99,3,-4.71,1.71,家居用品
311,603855,华荣股份,18.48,19.12,18.39,3,-2.33,3.05,专用设备
312,603856,东宏股份,12.93,13.37,12.87,3,-1.75,7.06,建筑材料
313,603883,老百姓,13.83,14.16,13.78,3,-1.98,2.8,医药商业
314,603922,ST金鸿顺,17.96,19.91,17.96,3,-14.31,0.6,汽车零部件
315,603939,益丰药房,22.31,23.76,22.28,3,-4.78,3.02,医药商业
316,605050,福然德,12.62,12.8,12.52,3,-1.56,2.92,物流
317,605108,同庆楼,15.48,16.6,15.42,3,-9.84,6.36,旅游及酒店
318,605177,东亚药业,20.53,21.34,20.5,3,-2.66,8.56,化学制药
319,605338,巴比食品,22.92,23.35,22.78,3,-2.3,3.01,食品加工制造
320,605368,蓝天燃气,7.68,7.79,7.67,3,-1.41,1.69,燃气
