序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,转手率,开板几日,开板日期,上市日期,是否新高,涨停统计,所属行业
57,301449,天溯计量,-0.7441996335983276,68.02,82.24,66819988,946380013.2199999,4436087003.84,7.058136940002441,84,2025-12-23,2025-12-23,否,0/0,专业服务
58,301667,纳百川,1.8955154418945312,110.2,129.78,608237616,2478889381.8,12305989920.0,24.56156349182129,84,2025-12-23,2025-12-23,否,0/0,汽车零部
59,603248,锡华科技,-1.5378700494766235,25.61,28.61,139155087,1775001389.98,11780600000.0,7.805561065673828,84,2025-12-23,2025-12-23,否,0/0,风电设备
60,688807,优迅股份,-2.257709264755249,355.0,435.84,731510288,5337657880.0,28400000000.0,13.640655517578125,86,2025-12-19,2025-12-19,否,0/0,半导体
61,001325,元创股份,-0.5278486013412476,54.65,60.43,125424825,1071140000.0,4284560000.0,11.632143020629883,87,2025-12-18,2025-12-18,否,0/0,橡胶
62,688802,沐曦股份-U,6.261915683746338,758.03,856.03,2990394816,13749885703.189999,303287803000.0,21.708450317382812,88,2025-12-17,2025-12-17,是,0/0,半导体
63,688790,昂瑞微-UW,2.8075733184814453,142.81,166.69,133923240,1721955995.51,14214120363.28,7.80830717086792,89,2025-12-16,2025-12-16,否,0/0,半导体
64,688796,百奥赛图,2.7410409450531006,96.33,112.51,164089810,3457056457.5299997,43049724413.28,4.765470504760742,93,2025-12-10,2025-12-10,否,0/0,医疗服务
65,688795,摩尔线程-U,3.7848029136657715,715.7,827.52,3538183632,21028973660.2,336399199916.80005,16.788166046142578,96,2025-12-05,2025-12-05,否,0/0,半导体
66,001280,中国铀业,-2.385496139526367,81.84,92.22,912682288,12937861276.560001,169260000476.16,7.036268711090088,98,2025-12-03,2025-12-03,否,0/0,小金属
67,920035,精创电气,6.400000095367432,31.92,39.0,60436658,498488256.0,2215886400.0,12.276663780212402,99,2025-12-02,2025-12-02,否,0/0,自动化设
68,920124,南特科技,0.9927200078964233,15.26,19.64,19820200,1167869301.34,2269670386.9,1.6984412670135498,102,2025-11-27,2025-11-27,否,0/0,通用设备
69,001233,海安集团,1.882036566734314,60.63,65.46,314795552,2145448329.6000001,11275563240.42,14.922551155090332,104,2025-11-25,2025-11-25,否,0/0,汽车零部
70,920091,大鹏工业,1.95335853099823,51.15,65.22,56461954,741685230.0,3143944980.0,7.628722190856934,106,2025-11-21,2025-11-21,否,0/0,专用设备
71,301638,南网数字,-1.4487754106521606,28.57,34.79,935978176,6713383142.63,90842606899.68001,13.889667510986328,109,2025-11-18,2025-11-18,否,0/0,IT服务Ⅱ
72,688727,恒坤新材,2.8536486625671387,50.46,58.87,158716787,2535270105.9,22672667016.0,6.302113056182861,109,2025-11-18,2025-11-18,否,0/0,半导体
73,920160,北矿检测,3.182795524597168,23.99,30.22,42512406,611457120.0,2717587200.0,6.955265045166016,109,2025-11-18,2025-11-18,否,0/0,专业服务
74,603092,德力佳,-4.2748494148254395,73.0,83.89,165701175,2442029580.0,29200007008.0,6.714283466339111,116,2025-11-07,2025-11-07,否,0/0,风电设备
75,920003,中诚咨询,1.3495720624923706,30.79,39.49,35343828,409956102.94,1992552865.94,8.703559875488281,116,2025-11-07,2025-11-07,否,0/0,工程咨询
76,603376,大明电子,-0.42763155698776245,30.27,33.44,20813595,939508061.1899999,12108030512.16,2.208885669708252,117,2025-11-06,2025-11-06,否,0/0,汽车零部
77,603334,丰倍生物,-3.4983105659484863,48.55,55.34,82996067,1507653639.3999999,6966925000.0,5.458383083343506,118,2025-11-05,2025-11-05,否,0/0,化学制品
78,920009,丹娜生物,-1.59375,62.98,83.2,14199358,453456000.0,3488462200.0,3.1370139122009277,120,2025-11-03,2025-11-03,否,0/0,医疗器械
79,688759,必贝特-U,3.1118314266204834,31.81,37.02,142083624,1697678864.45,14315666027.359999,8.48062515258789,124,2025-10-28,2025-10-28,否,0/0,化学制药
80,688765,禾元生物-U,3.2239925861358643,55.07,64.02,144336697,2548641747.73,19687525000.0,5.7568817138671875,124,2025-10-28,2025-10-28,否,0/0,生物制品
81,688783,西安奕材-U,5.850826263427734,23.7,26.87,423319936,4388707935.0,95695860000.0,9.716604232788086,124,2025-10-28,2025-10-28,否,0/0,半导体
82,920020,泰凯英,2.2137887477874756,16.16,20.55,38087923,890430560.16,3635111200.0,4.683613300323486,124,2025-10-28,2025-10-28,否,0/0,工程机械
83,603175,超颖电子,5.855161666870117,96.18,99.95,585387856,4373712403.200001,42033480767.04,13.475603103637695,126,2025-10-24,2025-10-24,否,0/0,元件
84,001285,瑞立科密,-0.4779201149940491,52.06,57.54,55236657,2160321846.2000003,9380076259.04,2.5559964179992676,128,2025-09-30,2025-09-30,否,0/0,汽车零部
85,001386,马可波罗,-0.48076924681663513,18.63,20.59,59129193,2003522364.0,22261359600.0,2.9474925994873047,128,2025-10-22,2025-10-22,否,0/0,家居用品
86,601026,道生天合,-0.45325779914855957,17.57,19.42,43755928,1951775573.3,11585658000.0,2.2480456829071045,131,2025-10-17,2025-10-17,否,0/0,风电设备
87,920158,长江能科,1.7283949851989746,16.48,21.06,41373576,628537312.0,2349718400.0,6.6210246086120605,132,2025-10-16,2025-10-16,否,0/0,专用设备
88,920080,奥美森,3.4395973682403564,24.66,30.99,33407590,566580786.66,2046780000.0,5.870415210723877,136,2025-10-10,2025-10-10,否,0/0,专用设备
89,301563,云汉芯城,0.5706571936607361,163.9,195.56,190840261,2412569647.4,10672528626.1,7.947470188140869,138,2025-09-30,2025-09-30,否,0/0,其他电子
90,301668,昊创瑞通,-0.4708520174026489,44.39,53.52,48165109,1079945355.47,4882900000.0,4.439450740814209,140,2025-09-26,2025-09-26,否,0/0,电网设备
