序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
124,600234,科新发展,0.9027493000030518,24.59,26.81,372032208,6455390726.07,6455390726.07,5.645521640777588,-0.20292207598686218,是,2.2603349685668945,5/3,60日新高且近期多次涨停,装修装饰
125,002327,富安娜,0.8391608595848083,7.21,7.87,50104537,3539732686.28,6043750314.56,1.4138166904449463,0.0,是,2.509969472885132,0/0,60日新高,服装家纺
126,603991,至正股份,0.7933883666992188,121.96,133.1,207939202,9090288356.08,18624476231.6,2.2851009368896484,0.016401508823037148,是,1.3003675937652588,0/0,60日新高,塑料
127,688628,优利德,0.7846829295158386,96.33,114.7,475195248,10766571752.039999,10766571752.039999,4.32381534576416,-0.19685038924217224,是,1.7051191329956055,0/0,60日新高,通用设备
128,603012,创力集团,0.7821229100227356,9.02,9.85,95575874,5831430000.0,5831430000.0,1.6465739011764526,0.0,是,1.1847046613693237,0/0,60日新高,专用设备
129,603101,汇嘉时代,0.78125,10.32,11.26,237159871,4854528000.0,4854528000.0,4.878904819488525,-0.09680542349815369,是,1.2064878940582275,0/0,60日新高,一般零售
130,002386,天原股份,0.7575757503509521,6.65,7.26,324080016,8654340171.050001,8655953028.800001,3.7375729084014893,0.0,是,2.0031418800354004,0/0,60日新高,化学原料
131,600919,江苏银行,0.7194244861602783,11.2,12.23,636171504,205534833985.59998,205534833459.19998,0.30865445733070374,-0.17825311422348022,是,1.4503246545791626,0/0,60日新高,银行Ⅱ
132,300018,中元股份,0.6896551847457886,14.6,17.4,441719904,5265775269.4,7085898825.599999,8.406304359436035,0.0,是,2.133133888244629,0/0,60日新高,电网设备
133,000570,苏常柴Ａ,0.5908419489860535,6.81,7.45,247016200,3784265972.6699996,4805766006.719999,6.48981237411499,-0.14662756025791168,是,1.0745388269424438,0/0,60日新高,汽车零部
134,600126,杭钢股份,0.584795355796814,10.32,11.29,2317998416,34852591336.56,34852591388.16,6.664615154266357,-0.5780346393585205,是,2.1123878955841064,2/1,60日新高,普钢
135,688690,纳微科技,0.5671641826629639,33.69,40.2,373553056,13604519432.849998,13604519533.919998,2.719430685043335,-0.23689666390419006,是,1.3951705694198608,0/0,60日新高,化学制药
136,301365,矩阵股份,0.491471529006958,34.76,41.51,176408320,3524050555.52,6256800000.0,5.008982181549072,0.0,是,1.90244460105896,0/0,60日新高,工程咨询
137,605389,长龄液压,0.483547568321228,85.2,93.27,103122669,11609927952.0,12276218364.0,0.8971813917160034,-0.05865103006362915,是,1.553998351097107,0/0,60日新高,工程机械
138,002384,东山精密,0.47225499153137207,187.22,204.97,14366023680,259547152980.06,342913562889.92,5.452034950256348,0.13371127843856812,是,1.5477715730667114,2/1,60日新高,元件
139,605098,行动教育,0.4189108610153198,67.12,73.52,87494003,8004133832.000001,8004133832.000001,1.0809627771377563,-0.3118966221809387,是,0.7413058280944824,0/0,60日新高,教育
140,002655,共达电声,0.36794766783714294,24.55,26.91,519585632,8912997795.0,8930700800.0,5.781528949737549,-0.040716610848903656,是,1.0055485963821411,0/0,60日新高,消费电子
141,600683,京投发展,0.22813686728477478,13.18,14.47,481852496,9763448728.46,9763448768.0,4.842687606811523,-0.2271006852388382,是,1.7309573888778687,7/4,60日新高且近期多次涨停,房地产开
142,688218,江苏北人,0.1336451768875122,29.97,35.92,123709819,3490765879.8599997,3490765879.8599997,3.5458483695983887,0.06677796691656113,是,0.9216434359550476,0/0,60日新高,自动化设
143,603165,荣晟环保,0.11716461926698685,17.09,18.78,184132626,5476404674.0199995,5476404639.84,3.321579694747925,-0.2917152941226959,是,1.6020476818084717,0/0,60日新高,造纸
144,600641,先导基电,0.07390982657670975,27.08,29.77,2196998464,25201458233.6,25641129113.6,8.501667976379395,-0.2945508062839508,是,2.9766342639923096,2/1,60日新高,半导体
145,300604,长川科技,0.06565988063812256,152.4,182.76,2231425296,74595446694.0,96685395859.2,2.9267618656158447,0.0,是,1.3665655851364136,0/0,60日新高,半导体
146,600901,江苏金租,0.0,7.17,7.89,176763119,41517543930.27,41527681858.56,0.4254082143306732,0.279720276594162,是,1.4821560382843018,0/0,60日新高,多元金融
147,603701,德宏股份,0.0,25.65,28.22,64300327,6703932760.65,6703932760.65,0.9630707502365112,-0.07791195809841156,是,0.879668116569519,0/0,60日新高,汽车零部
148,300696,爱乐达,-0.025960540398955345,38.51,46.22,345974976,10239294544.91,11289321105.76,3.317422866821289,0.0,是,1.2208448648452759,0/0,60日新高,航空装备
149,601138,工业富联,-0.02989983558654785,66.87,73.58,13762054144,1326974451031.08,1326974459857.9202,1.0243988037109375,-0.19402985274791718,是,1.9607131481170654,0/0,60日新高,消费电子
150,001389,广合科技,-0.07570022344589233,158.4,174.37,1253619120,24068157379.2,74840036198.40001,5.158864498138428,0.06317119300365448,是,1.4030686616897583,0/0,60日新高,元件
151,301097,天益医疗,-0.10050251334905624,59.64,71.64,80339034,1726063187.52,3515621027.52,4.520884990692139,0.0,是,2.8459911346435547,0/0,60日新高,医疗器械
152,002937,兴瑞科技,-0.1246882826089859,32.04,35.29,191177953,9514395875.16,9540829676.16,1.982406497001648,-0.4350528120994568,是,2.125763416290283,0/0,60日新高,汽车零部
153,603063,禾望电气,-0.19152502715587616,41.69,45.95,1045400944,19127413356.48,19127413356.48,5.38589334487915,-0.09585430473089218,是,0.8671013116836548,0/0,60日新高,风电设备
154,688667,菱电电控,-0.19309990108013153,155.06,186.43,182530704,8170957562.42,8170957562.42,2.2491862773895264,-0.18667525053024292,是,1.065940260887146,0/0,60日新高,汽车零部
155,300097,智云股份,-0.19417476654052734,10.28,12.36,203110229,2775686845.44,2966290545.9199996,7.026493072509766,0.0,是,1.223244547843933,0/0,60日新高,自动化设
156,002201,九鼎新材,-0.19582244753837585,15.29,16.85,2332064720,9204933963.5,9963518109.6,24.47662925720215,-0.06535948067903519,是,3.3847219944000244,3/2,60日新高且近期多次涨停,玻璃玻纤
